jersey,name,pos,height,weight,age,team,yos,predraft_team,draft_status,nationality
15,Precious Achiuwa,SF,81,210,21,Miami Heat,0,Memphis,2020 Rnd 1 Pick 20,Nigeria
12,Steven Adams,C,84,265,27,New Orleans Pelicans,7,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
13,Bam Adebayo,C,73,255,23,Miami Heat,3,Kentucky,2017 Rnd 1 Pick 14,United States
0,Ty-Shon Alexander,SG,76,195,23,Phoenix Suns,0,Creighton,"2020 NBA Draft, Undrafted ",United States
6,Nickeil Alexander-Walker,SG,77,205,22,New Orleans Pelicans,1,Virginia Tech,2019 Rnd 1 Pick 17,Canada
3,Grayson Allen,SG,76,198,25,Memphis Grizzlies,2,Duke,2018 Rnd 1 Pick 21,United States
31,Jarrett Allen,C,73,243,23,Cleveland Cavaliers,3,Texas,2017 Rnd 1 Pick 22,United States
5,Al-Farouq Aminu,F,81,220,30,Chicago Bulls,10,Wake Forest,2010 Rnd 1 Pick 8,United States Nigeria
1,Kyle Anderson,PF,80,230,27,Memphis Grizzlies,6,UCLA,2014 Rnd 1 Pick 30,United States
34,Giannis Antetokounmpo,F,73,242,26,Milwaukee Bucks,7,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,Greece Nigeria
37,Kostas Antetokounmpo,PF,73,200,23,Los Angeles Lakers,2,Dayton,2018 Rnd 2 Pick 30,Greece United States
43,Thanasis Antetokounmpo,SF,79,215,28,Milwaukee Bucks,2,Delaware 87ers,2014 Rnd 2 Pick 21,Greece Nigeria
0,Carmelo Anthony,F,80,240,36,Portland Trail Blazers,17,Syracuse,2003 Rnd 1 Pick 3,United States
50,Cole Anthony,PG,75,190,20,Orlando Magic,0,North Carolina,2020 Rnd 1 Pick 15,United States
3,Ogugua Anunoby,SF,80,232,23,Toronto Raptors,3,Indiana,2017 Rnd 1 Pick 23,England United States
51,Ryan Arcidiacono,G,75,195,27,Chicago Bulls,3,Villanova,"2016 NBA Draft, Undrafted ",United States
0,Trevor Ariza,SF,80,215,35,Miami Heat,16,UCLA,2004 Rnd 2 Pick 14,United States
14,D.J. Augustin,G,72,183,33,Houston Rockets,12,Texas,2008 Rnd 1 Pick 9,United States
9,Deni Avdija,SG,81,210,20,Washington Wizards,0,Maccabi Tel Aviv U18 (Israel),2020 Rnd 1 Pick 9,Israel
22,Deandre Ayton,C,85,250,22,Phoenix Suns,2,Arizona,2018 Rnd 1 Pick 1,Bahamas
20,Udoka Azubuike,C,84,270,21,Utah Jazz,0,Kansas,2020 Rnd 1 Pick 27,Nigeria
8,Dwayne Bacon,SF,78,221,25,Orlando Magic,3,Florida State,2017 Rnd 2 Pick 10,United States
35,Marvin Bagley III,PF,73,240,22,Sacramento Kings,2,Duke,2018 Rnd 1 Pick 2,United States
2,LaMelo Ball,G,79,181,19,Charlotte Hornets,0,Illawarra (Australia),2020 Rnd 1 Pick 3,United States
2,Lonzo Ball,PG,78,190,23,New Orleans Pelicans,3,UCLA,2017 Rnd 1 Pick 2,United States
5,Mohamed Bamba,C,84,250,22,Orlando Magic,2,Texas,2018 Rnd 1 Pick 6,United States
22,Desmond Bane,SG,78,215,22,Memphis Grizzlies,0,Texas Christian,2020 Rnd 1 Pick 30,United States
40,Harrison Barnes,SF,80,225,28,Sacramento Kings,8,North Carolina,2012 Rnd 1 Pick 7,United States
9,R.J. Barrett,SG,79,202,20,New York Knicks,1,Duke,2019 Rnd 1 Pick 3,Canada
5,Will Barton,GF,77,181,30,Denver Nuggets,8,Memphis,2012 Rnd 2 Pick 10,United States
31,Keita Bates-Diop,SF,80,230,25,San Antonio Spurs,2,Ohio State,2018 Rnd 2 Pick 18,United States
33,Nicolas Batum,F,80,200,32,Los Angeles Clippers,12,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
46,Aron Baynes,C,73,260,34,Toronto Raptors,8,Washington State,"2009 NBA Draft, Undrafted ",New Zealand Australia
26,Kent Bazemore,GF,76,195,31,Golden State Warriors,8,Old Dominion,"2012 NBA Draft, Undrafted ",United States
7,Darius Bazley,PF,80,208,20,Oklahoma City Thunder,1,,2019 Rnd 1 Pick 23,United States
3,Bradley Beal,SG,75,207,27,Washington Wizards,8,Florida,2012 Rnd 1 Pick 3,United States
5,Malik Beasley,SG,76,187,24,Minnesota Timberwolves,4,Florida State,2016 Rnd 1 Pick 19,United States
95,DeAndre' Bembry,GF,77,210,26,Toronto Raptors,4,Saint Joseph's,2016 Rnd 1 Pick 21,United States
42,Davis Bertans,SF,73,225,28,Washington Wizards,4,Union Olimpija (Slovenia),2011 Rnd 2 Pick 12,Latvia
21,Patrick Beverley,PG,73,185,32,Los Angeles Clippers,8,Dnipro Dnipropetrovsk (Ukraine),2009 Rnd 2 Pick 12,United States
41,Saddiq Bey,F,80,215,22,Detroit Pistons,0,Villanova,2020 Rnd 1 Pick 19,United States
2,Tyler Bey,PF,79,216,23,Dallas Mavericks,0,Colorado,2020 Rnd 2 Pick 6,United States
24,Khem Birch,PF,81,230,28,Toronto Raptors,3,UNLV,"2014 NBA Draft, Undrafted ",Canada
88,Goga Bitadze,C,73,245,21,Indiana Pacers,1,KK Mega Bemax (Serbia),2019 Rnd 1 Pick 18,Georgia
8,Bismack Biyombo,PF,81,255,28,Charlotte Hornets,9,Urbas Fuenlabrada (Spain),2011 Rnd 1 Pick 7,Democratic Republic of the Congo
70,Nemanja Bjelica,PF,73,235,32,Miami Heat,5,KK Crvena Zvezda (Serbia),2010 Rnd 2 Pick 5,Serbia
5,Eric Bledsoe,PG,73,205,31,New Orleans Pelicans,10,Kentucky,2010 Rnd 1 Pick 18,United States
11,Keljin Blevins,G,78,200,25,Portland Trail Blazers,0,Montana State,"2019 NBA Draft, Undrafted ",United States
13,Bogdan Bogdanovic,SG,78,220,28,Atlanta Hawks,3,KK Partizan (Serbia),2014 Rnd 1 Pick 27,Serbia
44,Bojan Bogdanovic,F,80,216,32,Utah Jazz,6,KK Cibona (Croatia),2011 Rnd 2 Pick 1,Bosnia and Herzegovina Croatia
10,Bol Bol,C,86,209,21,Denver Nuggets,1,Oregon,2019 Rnd 2 Pick 14,United States
17,Isaac Bonga,SG,80,180,21,Washington Wizards,2,Fraport Skyliners (Germany),2018 Rnd 2 Pick 9,Germany
1,Devin Booker,SG,78,206,24,Phoenix Suns,5,Kentucky,2015 Rnd 1 Pick 13,United States
25,Chris Boucher,PF,73,200,28,Toronto Raptors,3,Oregon,"2017 NBA Draft, Undrafted ",Saint Lucia Canada
11,Avery Bradley,PG,74,180,30,Houston Rockets,10,Texas,2010 Rnd 1 Pick 19,United States
13,Tony Bradley,C,73,248,23,Oklahoma City Thunder,3,North Carolina,2017 Rnd 1 Pick 28,United States
5,Jarrell Brantley,SF,79,250,25,Utah Jazz,1,Charleston,2019 Rnd 2 Pick 20,United States
25,Mikal Bridges,SG,79,210,24,Phoenix Suns,2,Villanova,2018 Rnd 1 Pick 10,United States
0,Miles Bridges,SF,79,225,23,Charlotte Hornets,2,Michigan State,2018 Rnd 1 Pick 12,United States
37,Amida Brimah,C,73,230,27,Indiana Pacers,0,Connecticut,"2017 NBA Draft, Undrafted ",Ghana
12,OShae Brissett,PF,79,210,22,Indiana Pacers,1,Syracuse,"2019 NBA Draft, Undrafted ",Canada
7,Malcolm Brogdon,SG,77,229,28,Indiana Pacers,4,Virginia,2016 Rnd 2 Pick 6,United States
7,Armoni Brooks,SG,75,195,22,Houston Rockets,0,Houston,"2019 NBA Draft, Undrafted ",United States
24,Dillon Brooks,F,78,220,25,Memphis Grizzlies,3,Oregon,2017 Rnd 2 Pick 15,Canada
7,Jaylen Brown,SF,78,223,24,Boston Celtics,4,California,2016 Rnd 1 Pick 3,United States
1,"Bruce Brown, Jr. ",SG,76,202,24,Brooklyn Nets,2,Miami (FL),2018 Rnd 2 Pick 12,United States
7,"Troy Brown, Jr. ",SF,78,215,21,Chicago Bulls,2,Oregon,2018 Rnd 1 Pick 15,United States
4,Moses Brown,C,85,245,21,Oklahoma City Thunder,1,UCLA,"2019 NBA Draft, Undrafted ",United States
23,Sterling Brown,G,78,232,26,Houston Rockets,3,Southern Methodist,2017 Rnd 2 Pick 16,United States
13,Jalen Brunson,PG,73,190,24,Dallas Mavericks,2,Villanova,2018 Rnd 2 Pick 3,United States
13,Thomas Bryant,C,73,248,23,Washington Wizards,3,Indiana,2017 Rnd 2 Pick 12,United States
25,Reggie Bullock,SG,79,205,30,New York Knicks,7,North Carolina,2013 Rnd 1 Pick 25,United States
3,Trey Burke,G,72,185,28,Dallas Mavericks,7,Michigan,2013 Rnd 1 Pick 9,United States
18,Alec Burks,SG,78,214,29,New York Knicks,9,Colorado,2011 Rnd 1 Pick 12,United States
22,Jimmy Butler,GF,80,232,31,Miami Heat,9,Marquette,2011 Rnd 1 Pick 30,United States
12,Devontae Cacok,PF,79,240,24,Los Angeles Lakers,1,UNC Wilmington,"2019 NBA Draft, Undrafted ",United States
1,Kentavious Caldwell-Pope,SG,77,205,28,Los Angeles Lakers,7,Georgia,2013 Rnd 1 Pick 8,United States
7,Facundo Campazzo,PG,61,165,30,Denver Nuggets,0,Penarol (Argentina),"2013 NBA Draft, Undrafted ",Argentina
31,Vlatko Cancar,SF,80,236,24,Denver Nuggets,1,KK Mega Bemax (Serbia),2017 Rnd 2 Pick 19,Slovenia
15,Clint Capela,PF,73,240,26,Atlanta Hawks,6,Chalon-Sur-Saone (France),2014 Rnd 1 Pick 25,Switzerland
22,"Vernon Carey, Jr. ",PF,73,270,20,Charlotte Hornets,0,Duke,2020 Rnd 2 Pick 2,United States
4,Jevon Carter,PG,74,200,25,Phoenix Suns,2,West Virginia,2018 Rnd 2 Pick 2,United States
34,"Wendell Carter, Jr. ",PF,73,270,22,Orlando Magic,2,Duke,2018 Rnd 1 Pick 7,United States
7,Michael Carter-Williams,PG,78,195,29,Orlando Magic,7,Syracuse,2013 Rnd 1 Pick 11,United States
4,Alex Caruso,G,77,186,27,Los Angeles Lakers,3,Texas A&M,"2016 NBA Draft, Undrafted ",United States
33,Willie Cauley-Stein,C,84,240,27,Dallas Mavericks,5,Kentucky,2015 Rnd 1 Pick 6,United States
4,Chris Chiozza,PG,61,176,25,Brooklyn Nets,2,Florida,"2018 NBA Draft, Undrafted ",United States
15,Brandon Clarke,PF,80,210,24,Memphis Grizzlies,1,Gonzaga,2019 Rnd 1 Pick 21,Canada
0,Jordan Clarkson,G,77,192,28,Utah Jazz,6,Missouri,2014 Rnd 2 Pick 16,United States
33,Nicolas Claxton,C,73,215,22,Brooklyn Nets,1,Georgia,2019 Rnd 2 Pick 1,United States U.S. Virgin Islands
7,Amir Coffey,SF,80,205,24,Los Angeles Clippers,1,Minnesota,"2019 NBA Draft, Undrafted ",United States
20,John Collins,PF,81,235,23,Atlanta Hawks,3,Wake Forest,2017 Rnd 1 Pick 19,United States
33,Zach Collins,C,84,235,23,Portland Trail Blazers,3,Gonzaga,2017 Rnd 1 Pick 10,United States
10,Mike Conley,PG,73,175,33,Utah Jazz,13,Ohio State,2007 Rnd 1 Pick 4,United States
24,Pat Connaughton,SF,76,209,28,Milwaukee Bucks,5,Notre Dame,2015 Rnd 2 Pick 11,United States
25,Tyler Cook,C,80,255,23,Detroit Pistons,1,Iowa,"2019 NBA Draft, Undrafted ",United States
15,DeMarcus Cousins,C,73,270,30,Los Angeles Clippers,10,Kentucky,2010 Rnd 1 Pick 5,United States
23,Robert Covington,F,81,225,30,Portland Trail Blazers,7,Tennessee State,"2013 NBA Draft, Undrafted ",United States
12,Torrey Craig,GF,79,215,30,Phoenix Suns,3,USC Upstate,"2014 NBA Draft, Undrafted ",United States
99,Jae Crowder,SF,78,235,30,Phoenix Suns,8,Marquette,2012 Rnd 2 Pick 4,United States
23,Jarrett Culver,SG,78,195,22,Minnesota Timberwolves,1,Texas Tech,2019 Rnd 1 Pick 6,United States
31,Seth Curry,G,74,185,30,Philadelphia Sixers,7,Duke,"2013 NBA Draft, Undrafted ",United States
30,Stephen Curry,G,75,190,33,Golden State Warriors,11,Davidson,2009 Rnd 1 Pick 7,United States
30,Nate Darling,SG,77,200,22,Charlotte Hornets,0,Delaware,"2020 NBA Draft, Undrafted ",Canada
3,Anthony Davis,PF,73,253,28,Los Angeles Lakers,8,Kentucky,2012 Rnd 1 Pick 1,United States
17,Ed Davis,PF,81,218,31,Minnesota Timberwolves,10,North Carolina,2010 Rnd 1 Pick 13,United States
9,Terence Davis,SF,76,205,23,Sacramento Kings,1,Ole Miss,"2019 NBA Draft, Undrafted ",United States
10,DeMar DeRozan,GF,79,220,31,San Antonio Spurs,11,USC,2009 Rnd 1 Pick 9,United States
6,Gabriel Deck,F,78,210,26,Oklahoma City Thunder,0,Quimsa (Argentina),"2017 NBA Draft, Undrafted ",Argentina
21,Dewayne Dedmon,PF,84,245,31,Miami Heat,7,USC,"2013 NBA Draft, Undrafted ",United States
18,Matt Dellavedova,G,75,204,30,Cleveland Cavaliers,7,Saint Mary's,"2013 NBA Draft, Undrafted ",Australia
0,Donte DiVincenzo,SG,76,203,24,Milwaukee Bucks,2,Villanova,2018 Rnd 1 Pick 17,United States
25,Mamadi Diakite,PF,81,228,24,Milwaukee Bucks,0,Virginia,"2020 NBA Draft, Undrafted ",Guinea
6,Hamidou Diallo,SG,77,202,22,Detroit Pistons,2,Kentucky,2018 Rnd 2 Pick 15,United States Guinea
7,Gorgui Dieng,FC,73,252,31,San Antonio Spurs,7,Louisville,2013 Rnd 1 Pick 21,Senegal
26,Spencer Dinwiddie,PG,77,215,28,Brooklyn Nets,6,Colorado,2014 Rnd 2 Pick 8,United States
77,Luka Doncic,SF,79,230,22,Dallas Mavericks,2,Real Madrid (Spain),2018 Rnd 1 Pick 3,Slovenia
5,Luguentz Dort,PG,76,215,22,Oklahoma City Thunder,1,Arizona State,"2019 NBA Draft, Undrafted ",Canada
21,Damyean Dotson,SG,77,205,26,Cleveland Cavaliers,3,Houston,2017 Rnd 2 Pick 14,United States
3,Devon Dotson,PG,74,185,22,Chicago Bulls,0,Kansas,"2020 NBA Draft, Undrafted ",United States
45,Sekou Doumbouya,F,81,230,20,Detroit Pistons,1,CSP Limoges (France),2019 Rnd 1 Pick 15,France Guinea
35,P.J. Dozier,PG,78,205,24,Denver Nuggets,3,South Carolina,"2017 NBA Draft, Undrafted ",United States
7,Goran Dragic,G,75,190,34,Miami Heat,12,Union Olimpija (Slovenia),2008 Rnd 2 Pick 15,Slovenia
2,Andre Drummond,C,73,279,27,Los Angeles Lakers,8,Connecticut,2012 Rnd 1 Pick 9,United States
10,Jared Dudley,PF,79,237,35,Los Angeles Lakers,13,Boston College,2007 Rnd 1 Pick 22,United States
32,Kris Dunn,SG,75,205,27,Atlanta Hawks,4,Providence,2016 Rnd 1 Pick 5,United States
7,Kevin Durant,SF,73,240,32,Brooklyn Nets,13,Texas,2007 Rnd 1 Pick 2,United States
1,Anthony Edwards,SF,77,225,19,Minnesota Timberwolves,0,Georgia,2020 Rnd 1 Pick 1,United States
4,Carsen Edwards,PG,61,200,23,Boston Celtics,1,Purdue,2019 Rnd 2 Pick 3,United States
16,C.J. Elleby,SF,78,185,20,Portland Trail Blazers,0,Washington State,2020 Rnd 2 Pick 16,United States
8,Wayne Ellington,SG,76,207,33,Detroit Pistons,11,North Carolina,2009 Rnd 1 Pick 28,United States
21,Joel Embiid,C,84,250,27,Philadelphia Sixers,6,Kansas,2014 Rnd 1 Pick 3,Cameroon
11,James Ennis,GF,78,215,30,Orlando Magic,6,Long Beach State,2013 Rnd 2 Pick 20,United States
14,Drew Eubanks,C,73,245,24,San Antonio Spurs,2,Oregon State,"2018 NBA Draft, Undrafted ",United States
1,Dante Exum,PG,77,214,25,Houston Rockets,6,Australian Institute of Sport (Australian Capital Territory),2014 Rnd 1 Pick 5,Australia
99,Tacko Fall,C,89,311,25,Boston Celtics,1,UCF,"2019 NBA Draft, Undrafted ",Senegal
15,Derrick Favors,FC,73,265,29,Utah Jazz,10,Georgia Tech,2010 Rnd 1 Pick 3,United States
6,Cristiano Felicio,C,73,275,28,Chicago Bulls,5,Minas (Brazil),"2014 NBA Draft, Undrafted ",Brazil
24,Bruno Fernando,C,81,240,22,Atlanta Hawks,1,Maryland,2019 Rnd 2 Pick 4,Angola
3,Yogi Ferrell,G,72,180,27,Los Angeles Clippers,4,Indiana,"2016 NBA Draft, Undrafted ",United States
10,Dorian Finney-Smith,SF,79,220,28,Dallas Mavericks,4,Florida,"2016 NBA Draft, Undrafted ",United States
8,Malachi Flynn,PG,73,185,22,Toronto Raptors,0,San Diego State,2020 Rnd 1 Pick 29,United States
7,Bryn Forbes,G,75,195,27,Milwaukee Bucks,4,Michigan State,"2016 NBA Draft, Undrafted ",United States
3,Trent Forrest,SG,76,210,23,Utah Jazz,0,Florida State,"2020 NBA Draft, Undrafted ",United States
94,Evan Fournier,SG,79,205,28,Boston Celtics,8,Poitiers Basket 86 (France),2012 Rnd 1 Pick 20,France
5,De'Aaron Fox,PG,75,185,23,Sacramento Kings,3,Kentucky,2017 Rnd 1 Pick 5,United States
10,Tim Frazier,G,73,170,30,Memphis Grizzlies,6,Penn State,"2014 NBA Draft, Undrafted ",United States
20,Markelle Fultz,PG,76,209,22,Orlando Magic,3,Washington,2017 Rnd 1 Pick 1,United States
32,Wenyen Gabriel,PF,81,205,24,New Orleans Pelicans,2,Kentucky,"2018 NBA Draft, Undrafted ",South Sudan
21,Daniel Gafford,C,73,233,22,Washington Wizards,1,Arkansas,2019 Rnd 2 Pick 8,United States
8,Danilo Gallinari,SF,73,233,32,Atlanta Hawks,12,AX Armani Exchange Milan (Italy),2008 Rnd 1 Pick 6,Italy
2,Langston Galloway,G,74,200,29,Phoenix Suns,6,Saint Joseph's,"2014 NBA Draft, Undrafted ",United States
10,Darius Garland,G,73,192,21,Cleveland Cavaliers,1,Vanderbilt,2019 Rnd 1 Pick 5,United States
14,Marc Gasol,C,85,255,36,Los Angeles Lakers,12,CB Girona (Spain),2007 Rnd 2 Pick 18,Spain
22,Rudy Gay,SF,80,240,34,San Antonio Spurs,14,Connecticut,2006 Rnd 1 Pick 8,United States
13,Paul George,GF,81,220,31,Los Angeles Clippers,10,Fresno State,2010 Rnd 1 Pick 10,United States
67,Taj Gibson,F,81,232,35,New York Knicks,11,USC,2009 Rnd 1 Pick 26,United States
10,Harry Giles,PF,73,240,23,Portland Trail Blazers,3,Duke,2017 Rnd 1 Pick 20,United States
2,Shai Gilgeous-Alexander,PG,78,181,22,Oklahoma City Thunder,2,Kentucky,2018 Rnd 1 Pick 11,Canada
16,Anthony Gill,PF,80,230,28,Washington Wizards,0,Virginia,"2016 NBA Draft, Undrafted ",United States
55,Freddie Gillespie,F,81,245,23,Toronto Raptors,0,Baylor,"2020 NBA Draft, Undrafted ",United States
27,Rudy Gobert,C,85,245,28,Utah Jazz,7,Cholet Basket (France),2013 Rnd 1 Pick 27,France
0,Brandon Goodwin,PG,72,180,25,Atlanta Hawks,2,Florida Gulf Coast,"2018 NBA Draft, Undrafted ",United States
